run,seed,variable,lead_hours,metric,value
baseline17,0,Q500,60.0,rmse_climatology,0.0006828771219046792
baseline17,0,Q500,66.0,rmse_climatology,0.0006829823064687919
baseline17,0,Q500,72.0,rmse_climatology,0.0006828699661071477
baseline17,0,Q500,78.0,rmse_climatology,0.0006825198970326708
baseline17,0,Q500,84.0,rmse_climatology,0.0006825740151594135
baseline17,0,Q500,90.0,rmse_climatology,0.0006827644177044798
baseline17,0,Q500,96.0,rmse_climatology,0.0006828774480533256
baseline17,0,Q500,102.0,rmse_climatology,0.0006827949940516311
baseline17,0,Q500,108.0,rmse_climatology,0.0006824462260645012
baseline17,0,Q500,114.0,rmse_climatology,0.0006825103067809391
baseline17,0,Q500,120.0,rmse_climatology,0.0006826688227663783
baseline17,0,Q500,6.0,skill,0.6222615347564306
baseline17,0,Q500,12.0,skill,0.39352787944150114
baseline17,0,Q500,18.0,skill,0.23843581701187933
baseline17,0,Q500,24.0,skill,0.12131621084874522
baseline17,0,Q500,30.0,skill,0.019334918183175898
baseline17,0,Q500,36.0,skill,-0.06686465860618385
baseline17,0,Q500,42.0,skill,-0.1437710175423279
baseline17,0,Q500,48.0,skill,-0.22371819134850202
baseline17,0,Q500,54.0,skill,-0.31817709606619005
baseline17,0,Q500,60.0,skill,-0.43121079546691554
baseline17,0,Q500,66.0,skill,-0.5717802519393964
baseline17,0,Q500,72.0,skill,-0.7558250936250426
baseline17,0,Q500,78.0,skill,-1.0041879526823578
baseline17,0,Q500,84.0,skill,-1.3392209892990938
baseline17,0,Q500,90.0,skill,-1.8055718051185012
baseline17,0,Q500,96.0,skill,-2.476651262225396
baseline17,0,Q500,102.0,skill,-3.441145211159136
baseline17,0,Q500,108.0,skill,-4.763644614734153
baseline17,0,Q500,114.0,skill,-6.463109327860968
baseline17,0,Q500,120.0,skill,-8.524842154124867
baseline17,0,Q500,6.0,rmse_persistence,0.0002671062627101212
baseline17,0,Q500,12.0,rmse_persistence,0.0004300565285590172
baseline17,0,Q500,18.0,rmse_persistence,0.0005365717738250677
baseline17,0,Q500,24.0,rmse_persistence,0.0006126919015864899
baseline17,0,Q500,30.0,rmse_persistence,0.0006747232489548922
baseline17,0,Q500,36.0,rmse_persistence,0.0007208891813050831
baseline17,0,Q500,42.0,rmse_persistence,0.0007538816619024682
baseline17,0,Q500,48.0,rmse_persistence,0.000779311012483089
baseline17,0,Q500,54.0,rmse_persistence,0.0008025592329312368
baseline17,0,Q500,60.0,rmse_persistence,0.0008207428494166893
baseline17,0,Q500,66.0,rmse_persistence,0.0008335653956813164
baseline17,0,Q500,72.0,rmse_persistence,0.0008435102574007775
baseline17,0,Q500,78.0,rmse_persistence,0.0008544538564836711
baseline17,0,Q500,84.0,rmse_persistence,0.0008631982597368683
baseline17,0,Q500,90.0,rmse_persistence,0.0008691402172267167
baseline17,0,Q500,96.0,rmse_persistence,0.0008740624318818577
baseline17,0,Q500,102.0,rmse_persistence,0.0008813263062965539
baseline17,0,Q500,108.0,rmse_persistence,0.0008875144978147898
baseline17,0,Q500,114.0,rmse_persistence,0.0008922101743364912
baseline17,0,Q500,120.0,rmse_persistence,0.0008962220554006414
baseline17,0,Q500,6.0,acc,0.9270283067790833
baseline17,0,Q500,12.0,acc,0.8105839799380049
baseline17,0,Q500,18.0,acc,0.69977564100481
baseline17,0,Q500,24.0,acc,0.6002269863672665
baseline17,0,Q500,30.0,acc,0.5074706823211131
baseline17,0,Q500,36.0,acc,0.428583999354282
baseline17,0,Q500,42.0,acc,0.3631023111265903
baseline17,0,Q500,48.0,acc,0.30585726652526307
baseline17,0,Q500,54.0,acc,0.2539942638363224
baseline17,0,Q500,60.0,acc,0.20911694061753835
baseline17,0,Q500,66.0,acc,0.17141596980105536
baseline17,0,Q500,72.0,acc,0.1389973042404264
baseline17,0,Q500,78.0,acc,0.1110615853439129
