variable,lead_hours,mean,std,seeds,real,run
TP6h,60.0,-0.587499104933035,0.08765414336277129,3,True,multiscale
TP6h,66.0,-0.5582651387240416,0.040230210667116156,3,True,multiscale
TP6h,72.0,-0.3735076392735542,0.029784294804704924,3,True,multiscale
TP6h,78.0,-0.10039751904799062,0.08774619160523565,3,False,multiscale
TP6h,84.0,0.05997652342161219,0.20201386559964454,3,False,multiscale
TP6h,90.0,0.30877695923486526,0.2639947971480854,3,False,multiscale
TP6h,96.0,0.6958835313550873,0.36343547344585264,3,False,multiscale
TP6h,102.0,1.128308335037954,0.46575888835581836,3,True,multiscale
TP6h,108.0,1.5316427017956842,0.6253180605813948,3,True,multiscale
TP6h,114.0,2.053516026745582,0.7557262704320693,3,True,multiscale
TP6h,120.0,2.7218178229431853,0.9202881197690918,3,True,multiscale
U250,6.0,1.1788488473465284,0.7830226214267489,3,False,multiscale
U250,12.0,1.7842704137136896,0.7395400371403624,3,True,multiscale
U250,18.0,1.3836685262619397,0.6470902784539628,3,True,multiscale
U250,24.0,0.508382738190814,0.5603582004114257,3,False,multiscale
U250,30.0,-0.42998270942172284,0.45304258863238306,3,False,multiscale
U250,36.0,-1.0791532613968589,0.3725179059786956,3,True,multiscale
U250,42.0,-1.4702223307826392,0.3174573956285646,3,True,multiscale
U250,48.0,-1.5547720018396882,0.3055600554901604,3,True,multiscale
U250,54.0,-1.5078908673879654,0.2890452115740804,3,True,multiscale
U250,60.0,-1.2784737685604701,0.27786009035930115,3,True,multiscale
U250,66.0,-0.9244493274918016,0.2758859669253434,3,True,multiscale
U250,72.0,-0.41852587074279585,0.2700500131570354,3,False,multiscale
U250,78.0,0.1273450051447258,0.2729345022301639,3,False,multiscale
U250,84.0,0.808376262136879,0.2590344607716977,3,True,multiscale
U250,90.0,1.5767952827071818,0.2682277106154231,3,True,multiscale
U250,96.0,2.4583925100175663,0.3219787243360506,3,True,multiscale
U250,102.0,3.382742351261037,0.42428586650828864,3,True,multiscale
U250,108.0,4.4362517292187365,0.5545978683030872,3,True,multiscale
U250,114.0,5.625690920415917,0.7036792851218918,3,True,multiscale
U250,120.0,6.939626880284805,0.8951380750629249,3,True,multiscale
U500,6.0,1.4876858343987465,0.7580288197884758,3,False,multiscale
U500,12.0,2.0013288594126424,0.7634683724897496,3,True,multiscale
U500,18.0,1.5404699629918859,0.6710786958941944,3,True,multiscale
U500,24.0,0.6597250306312926,0.4863543036446684,3,False,multiscale
U500,30.0,-0.3289218603027086,0.3526154116185847,3,False,multiscale
U500,36.0,-0.986965110808672,0.2824307037798848,3,True,multiscale
U500,42.0,-1.344106642980574,0.30498299205937857,3,True,multiscale
U500,48.0,-1.480495170699409,0.41131673095344073,3,True,multiscale
U500,54.0,-1.5651730367209733,0.5176418873695442,3,True,multiscale
U500,60.0,-1.453961860870593,0.652062483137069,3,True,multiscale
U500,66.0,-1.1407598300664872,0.7728336328635645,3,False,multiscale
U500,72.0,-0.7004704066310619,0.9106476782185831,3,False,multiscale
U500,78.0,-0.2768669355534172,1.013989875303722,3,False,multiscale
U500,84.0,0.26096596174980374,1.1038861118925325,3,False,multiscale
U500,90.0,0.8898331760056699,1.1833464816886567,3,False,multiscale
U500,96.0,1.6603907901254313,1.2574888684446437,3,False,multiscale
