lead_days,mean,min,max,std,count,variable,model
0.25,157.08943019730074,156.0786602098136,158.1094923344987,1.0154479492804844,3.0,Z500,multiscale_smooth
0.5,207.01757855667742,205.80331308231308,207.7964618381303,1.0655180576284229,3.0,Z500,multiscale_smooth
0.75,282.819771698973,280.2624320587183,284.79244059141115,2.3209102177985654,3.0,Z500,multiscale_smooth
1.0,327.60823303420545,325.2495097517437,328.88408589056877,2.04499197969531,3.0,Z500,multiscale_smooth
1.25,390.3446233496254,386.68452851620344,393.0043972550887,3.276532723530904,3.0,Z500,multiscale_smooth
1.5,433.89356929813385,430.46856817791894,435.88767831557624,2.979476099643672,3.0,Z500,multiscale_smooth
1.75,485.5393646904158,481.149041374444,488.60912178982846,3.9014255471864407,3.0,Z500,multiscale_smooth
2.0,524.1310464823624,520.1226562054507,526.5037134757171,3.490868941522063,3.0,Z500,multiscale_smooth
2.25,571.4303774700646,566.7712180129524,574.5179746497574,4.105534750958282,3.0,Z500,multiscale_smooth
2.5,608.4188249994322,604.3251508409089,610.6384223914735,3.5494326606928346,3.0,Z500,multiscale_smooth
2.75,650.3236264464244,645.9980736369215,652.974686556735,3.777727664610484,3.0,Z500,multiscale_smooth
3.0,683.4500020526599,679.9031554092621,685.2728996769442,3.0720577046099624,3.0,Z500,multiscale_smooth
3.25,722.214561258695,718.5265251275969,724.3446810539504,3.2067213907594834,3.0,Z500,multiscale_smooth
3.5,753.3182857491441,750.2075602608408,754.9599905140915,2.6953505787262326,3.0,Z500,multiscale_smooth
3.75,787.5742593303067,784.1181124574731,789.6525472685697,3.013530089820234,3.0,Z500,multiscale_smooth
4.0,814.8745456922485,812.043640793994,816.4710988940228,2.458315356058014,3.0,Z500,multiscale_smooth
4.25,846.1864738693015,843.1898274363781,848.401062638817,2.692202393107879,3.0,Z500,multiscale_smooth
4.5,871.7371760327959,869.3266717123234,873.4989567810436,2.16046809245964,3.0,Z500,multiscale_smooth
4.75,899.9201591228988,897.2913671527493,902.2148777511412,2.4786978237471877,3.0,Z500,multiscale_smooth
5.0,922.6123438614327,920.4184573622922,924.354610090111,2.0065630380573745,3.0,Z500,multiscale_smooth
0.25,189.55042738339412,188.9471607765321,190.31155092962769,0.6957580272241728,3.0,Z500,pyramid
0.5,280.0558027610847,279.0282814503119,281.4497387024748,1.2516223740253665,3.0,Z500,pyramid
0.75,397.76767565319125,396.9149432669937,399.22569891582543,1.2687319263638734,3.0,Z500,pyramid
1.0,476.5904426510569,475.6560736812269,478.4381006717464,1.6001534963276653,3.0,Z500,pyramid
1.25,568.0580147314288,567.0327083828043,569.8533827875264,1.5600632356897721,3.0,Z500,pyramid
1.5,628.7518182965947,627.7977120344767,630.5568752842681,1.564075865404975,3.0,Z500,pyramid
1.75,694.1654731127404,692.9990738199286,695.9735251884028,1.5876488768488588,3.0,Z500,pyramid
2.0,735.690357379401,734.5106772581084,737.710695029584,1.7578558658491275,3.0,Z500,pyramid
2.25,785.1332177697326,783.8187016855996,787.1792129697291,1.7957046793386635,3.0,Z500,pyramid
2.5,815.1725768736272,813.8912885672039,817.3148873818214,1.867157367449178,3.0,Z500,pyramid
2.75,851.7565348006498,850.2055359416687,854.172587976682,2.120286464304432,3.0,Z500,pyramid
3.0,872.4982873759731,870.9339313079797,875.3888907772796,2.506165389617537,3.0,Z500,pyramid
3.25,903.2481213722276,901.4409697304216,906.3991874037808,2.738715034341853,3.0,Z500,pyramid
3.5,920.3971870358552,918.5261486846588,923.7271653309488,2.8911974783245777,3.0,Z500,pyramid
3.75,945.7490815607775,943.382085494632,949.385672128758,3.1968211973272496,3.0,Z500,pyramid
4.0,958.5873314182055,955.9108794686944,962.7763658589136,3.674187690915882,3.0,Z500,pyramid
4.25,981.9371732835234,978.6954884046798,986.5391885922876,4.094970368292732,3.0,Z500,pyramid
4.5,993.9001816477412,990.307249641382,998.7986698753429,4.393678661730791,3.0,Z500,pyramid
4.75,1014.2115255864159,1009.9062811477462,1019.3637859350006,4.785308366654316,3.0,Z500,pyramid
5.0,1023.5358677545546,1018.7410360096136,1029.2182671774904,5.294707312359037,3.0,Z500,pyramid
0.25,185.24612995306006,184.95856723305656,185.82016686925897,0.49713085006906294,3.0,Z500,pyramid_w2
0.5,271.724501058379,271.0234170259277,272.7879950144806,0.9364505240489173,3.0,Z500,pyramid_w2
0.75,387.504182149775,386.65947422432697,388.64336475011936,1.0242030585771194,3.0,Z500,pyramid_w2
1.0,464.659906133751,463.59329590373864,465.8848358346445,1.153944368190716,3.0,Z500,pyramid_w2
1.25,555.3928184558539,554.1692206891508,556.5456985971531,1.189816182741156,3.0,Z500,pyramid_w2
