run,seed,variable,lead_hours,wavenumber,power_ratio
baseline17,0,TP6h,120,14,0.15253925252955294
baseline17,0,TP6h,120,15,0.16278248750028732
baseline17,0,TP6h,120,16,0.31031778555616885
baseline17,0,TP6h,120,17,0.14458048881133184
baseline17,0,TP6h,120,18,0.12910086412925745
baseline17,0,TP6h,120,19,0.12762062704484098
baseline17,0,TP6h,120,20,0.12401483946709983
baseline17,0,TP6h,120,21,0.11685464624622903
baseline17,0,TP6h,120,22,0.11491017766498009
baseline17,0,TP6h,120,23,0.10494968483662534
baseline17,0,TP6h,120,24,0.112900957095251
baseline17,0,TP6h,120,25,0.10501694175561561
baseline17,0,TP6h,120,26,0.11428168296685462
baseline17,0,TP6h,120,27,0.11189225167333942
baseline17,0,TP6h,120,28,0.13285409840346846
baseline17,0,TP6h,120,29,0.1336985885088786
baseline17,0,TP6h,120,30,0.14008451971089905
baseline17,0,TP6h,120,31,0.16001929337662094
baseline17,0,TP6h,120,32,0.4515882450480692
baseline17,1,Z500,24,1,0.9750530622934287
baseline17,1,Z500,24,2,0.9761328759214133
baseline17,1,Z500,24,3,0.9507534123756557
baseline17,1,Z500,24,4,0.8133597572805741
baseline17,1,Z500,24,5,0.7437672717581392
baseline17,1,Z500,24,6,0.6720446841260196
baseline17,1,Z500,24,7,0.6626103340353034
baseline17,1,Z500,24,8,0.7191981125255548
baseline17,1,Z500,24,9,0.8777802307240467
baseline17,1,Z500,24,10,1.0823543715733444
baseline17,1,Z500,24,11,1.278410106676833
baseline17,1,Z500,24,12,1.5714539044151687
baseline17,1,Z500,24,13,2.0718973246271486
baseline17,1,Z500,24,14,2.556852158553722
baseline17,1,Z500,24,15,3.2207088293715267
baseline17,1,Z500,24,16,4.821220148777747
baseline17,1,Z500,24,17,5.204789333901349
baseline17,1,Z500,24,18,7.012204551269023
baseline17,1,Z500,24,19,9.30680562404724
baseline17,1,Z500,24,20,10.86670547027438
baseline17,1,Z500,24,21,12.645100774855765
baseline17,1,Z500,24,22,15.109456142435752
baseline17,1,Z500,24,23,17.102688236458338
baseline17,1,Z500,24,24,20.878694812633725
baseline17,1,Z500,24,25,25.756262340264044
baseline17,1,Z500,24,26,31.511292058856597
baseline17,1,Z500,24,27,38.39099282772028
baseline17,1,Z500,24,28,44.82980823686423
baseline17,1,Z500,24,29,54.24526821532314
baseline17,1,Z500,24,30,61.44908228888213
baseline17,1,Z500,24,31,66.34241434427203
baseline17,1,Z500,24,32,76.13810872937712
baseline17,1,T850,24,1,1.0080294088334953
baseline17,1,T850,24,2,1.0049024644600957
baseline17,1,T850,24,3,1.0053818906871128
baseline17,1,T850,24,4,0.9419327986609982
baseline17,1,T850,24,5,0.9246511965342266
baseline17,1,T850,24,6,0.8931868462943813
baseline17,1,T850,24,7,0.8581757729524523
baseline17,1,T850,24,8,0.8742791477252628
baseline17,1,T850,24,9,0.9573937625976214
baseline17,1,T850,24,10,1.0117240349156005
baseline17,1,T850,24,11,1.0545546242745067
baseline17,1,T850,24,12,1.147094324378381
baseline17,1,T850,24,13,1.2586024225166876
baseline17,1,T850,24,14,1.367911635825339
baseline17,1,T850,24,15,1.4605643369985406
baseline17,1,T850,24,16,1.6459291203540538
baseline17,1,T850,24,17,1.7391780785055881
baseline17,1,T850,24,18,1.864668154854797
baseline17,1,T850,24,19,2.0789489766971543
baseline17,1,T850,24,20,2.1609980874662194
baseline17,1,T850,24,21,2.245294426647622
baseline17,1,T850,24,22,2.3764978954597766
baseline17,1,T850,24,23,2.435350550489396
baseline17,1,T850,24,24,2.618558366887646
baseline17,1,T850,24,25,2.9033425651815103
baseline17,1,T850,24,26,3.014436804617924
baseline17,1,T850,24,27,3.3258571881579027
baseline17,1,T850,24,28,3.8692320389441455
baseline17,1,T850,24,29,4.178467117201075
baseline17,1,T850,24,30,4.692429119413098
baseline17,1,T850,24,31,4.814914013453966
baseline17,1,T850,24,32,5.955153827944318
baseline17,1,Q850,24,1,0.9797346218142463
baseline17,1,Q850,24,2,0.9782463273513187
baseline17,1,Q850,24,3,0.9794600191377898
baseline17,1,Q850,24,4,0.9528904678689047
baseline17,1,Q850,24,5,0.9282329949215947
baseline17,1,Q850,24,6,0.9024432807066015
baseline17,1,Q850,24,7,0.8719149183336078
baseline17,1,Q850,24,8,0.8864315783273345
baseline17,1,Q850,24,9,0.8819933141834416
baseline17,1,Q850,24,10,0.8765218345828696
baseline17,1,Q850,24,11,0.8791702032322608
baseline17,1,Q850,24,12,0.8674969871396345
baseline17,1,Q850,24,13,0.9377958084640333
baseline17,1,Q850,24,14,0.9070578154627995
baseline17,1,Q850,24,15,0.9365336575659833
baseline17,1,Q850,24,16,0.9813935116678839
baseline17,1,Q850,24,17,0.9600341217580977
baseline17,1,Q850,24,18,0.9472171704868073
