run,seed,variable,lead_hours,metric,value
baseline17,0,Q500,102.0,skill,-5.420754347523967
baseline17,0,Q500,108.0,skill,-5.504464070425906
baseline17,0,Q500,114.0,skill,-5.5309224564054125
baseline17,0,Q500,120.0,skill,-5.656879451004984
baseline17,0,Q500,6.0,rmse_persistence,0.0002671062627101212
baseline17,0,Q500,12.0,rmse_persistence,0.0004300565285590172
baseline17,0,Q500,18.0,rmse_persistence,0.0005365717738250677
baseline17,0,Q500,24.0,rmse_persistence,0.0006126919015864899
baseline17,0,Q500,30.0,rmse_persistence,0.0006747232489548922
baseline17,0,Q500,36.0,rmse_persistence,0.0007208891813050831
baseline17,0,Q500,42.0,rmse_persistence,0.0007538816619024682
baseline17,0,Q500,48.0,rmse_persistence,0.000779311012483089
baseline17,0,Q500,54.0,rmse_persistence,0.0008025592329312368
baseline17,0,Q500,60.0,rmse_persistence,0.0008207428494166893
baseline17,0,Q500,66.0,rmse_persistence,0.0008335653956813164
baseline17,0,Q500,72.0,rmse_persistence,0.0008435102574007775
baseline17,0,Q500,78.0,rmse_persistence,0.0008544538564836711
baseline17,0,Q500,84.0,rmse_persistence,0.0008631982597368683
baseline17,0,Q500,90.0,rmse_persistence,0.0008691402172267167
baseline17,0,Q500,96.0,rmse_persistence,0.0008740624318818577
baseline17,0,Q500,102.0,rmse_persistence,0.0008813263062965539
baseline17,0,Q500,108.0,rmse_persistence,0.0008875144978147898
baseline17,0,Q500,114.0,rmse_persistence,0.0008922101743364912
baseline17,0,Q500,120.0,rmse_persistence,0.0008962220554006414
baseline17,0,Q500,6.0,acc,0.837477145604826
baseline17,0,Q500,12.0,acc,0.7172919217914863
baseline17,0,Q500,18.0,acc,0.5989720093486959
baseline17,0,Q500,24.0,acc,0.48725825306557025
baseline17,0,Q500,30.0,acc,0.38430947859449066
baseline17,0,Q500,36.0,acc,0.2960536180456633
baseline17,0,Q500,42.0,acc,0.2217371847092456
baseline17,0,Q500,48.0,acc,0.1596523602833248
